Idade,Renda_Mensal,Gasto_Internet,Regiao,Genero,Plano_Atual,Motivo_Troca,Ocupacao
40.0,7662.0,175.0,Desconhecido,Desconhecido,Nao especificado,Atendimento Ruim,Professor
43.0,3062.0,283.0,Sudeste,Masculino,Nao especificado,Preco Alto,Professor
26.0,2266.0,473.0,Centro-Oeste,Masculino,Nao especificado,Cobertura Ruim,Professor
43.0,5351.0,167.0,Centro-Oeste,Outro,Basico,Preco Alto,Professor
19.0,7662.0,245.0,Desconhecido,Desconhecido,Intermediario,Cobertura Ruim,Desempregado
56.0,7209.0,173.0,Desconhecido,Feminino,Nao especificado,Preco Alto,Autônomo
43.0,6895.0,165.0,Sudeste,Masculino,Basico,Cobertura Ruim,Professor
52.0,7662.0,432.0,Desconhecido,Feminino,Intermediario,Atendimento Ruim,Autônomo
39.0,16444.0,191.0,Desconhecido,Feminino,Nao especificado,Cobertura Ruim,Professor
62.0,10662.0,187.0,Sudeste,Feminino,Nao especificado,Cobertura Ruim,Desempregado
35.0,1539.0,263.0,Desconhecido,Feminino,Nao especificado,Cobertura Ruim,Professor
43.0,3513.0,230.0,Sudeste,Masculino,Premium,Cobertura Ruim,Autônomo
34.0,7662.0,263.0,Desconhecido,Feminino,Intermediario,Atendimento Ruim,Professor
57.0,18708.0,356.0,Nordeste,Masculino,Basico,Cobertura Ruim,Professor
43.0,2310.0,271.0,Sudeste,Masculino,Basico,Cobertura Ruim,Desempregado
45.0,12649.0,384.0,Nordeste,Feminino,Basico,Cobertura Ruim,Autônomo
43.0,1739.0,263.0,Norte,Masculino,Basico,Atendimento Ruim,Autônomo
61.0,7662.0,219.0,Desconhecido,Desconhecido,Intermediario,Atendimento Ruim,Desempregado
27.0,1324.0,101.0,Sul,Masculino,Intermediario,Atendimento Ruim,Professor
45.0,7662.0,431.0,Centro-Oeste,Feminino,Nao especificado,Cobertura Ruim,Desempregado
25.0,6776.0,174.0,Desconhecido,Desconhecido,Intermediario,Atendimento Ruim,Professor
63.0,17599.0,263.0,Nordeste,Feminino,Nao especificado,Preco Alto,Desempregado
61.0,2159.0,186.0,Sudeste,Feminino,Premium,Cobertura Ruim,Desempregado
62.0,7662.0,263.0,Sul,Desconhecido,Premium,Preco Alto,Professor
53.0,5964.0,391.0,Sudeste,Feminino,Premium,Cobertura Ruim,Desempregado
42.0,19083.0,263.0,Desconhecido,Desconhecido,Intermediario,Atendimento Ruim,Autônomo
39.0,7662.0,235.0,Sudeste,Feminino,Nao especificado,Preco Alto,Autônomo
38.0,7662.0,263.0,Nordeste,Desconhecido,Basico,Preco Alto,Desempregado
43.0,7662.0,274.0,Sudeste,Masculino,Intermediario,Preco Alto,Autônomo
67.0,7662.0,310.0,Centro-Oeste,Desconhecido,Intermediario,Atendimento Ruim,Desempregado
41.0,2395.0,256.0,Nordeste,Feminino,Premium,Cobertura Ruim,Professor
66.0,8374.0,283.0,Nordeste,Masculino,Nao especificado,Cobertura Ruim,Autônomo
63.0,13321.0,169.0,Desconhecido,Feminino,Premium,Cobertura Ruim,Autônomo
60.0,7662.0,263.0,Centro-Oeste,Masculino,Basico,Cobertura Ruim,Professor
47.0,8183.0,221.0,Sul,Desconhecido,Basico,Cobertura Ruim,Desempregado
43.0,7568.0,255.0,Norte,Masculino,Basico,Atendimento Ruim,Professor
43.0,19228.0,452.0,Centro-Oeste,Masculino,Basico,Preco Alto,Desempregado
48.0,15450.0,239.0,Norte,Feminino,Premium,Cobertura Ruim,Professor
18.0,12357.0,245.0,Nordeste,Feminino,Nao especificado,Cobertura Ruim,Desempregado
20.0,3795.0,332.0,Norte,Masculino,Intermediario,Cobertura Ruim,Professor
43.0,15430.0,174.0,Sudeste,Desconhecido,Intermediario,Cobertura Ruim,Desempregado
64.0,7662.0,434.0,Desconhecido,Feminino,Basico,Cobertura Ruim,Professor
62.0,19798.0,243.0,Nordeste,Masculino,Nao especificado,Cobertura Ruim,Professor
43.0,3006.0,465.0,Sul,Feminino,Basico,Atendimento Ruim,Desempregado
65.0,7662.0,194.0,Norte,Feminino,Basico,Cobertura Ruim,Desempregado
52.0,19470.0,255.0,Sul,Feminino,Basico,Cobertura Ruim,Professor
43.0,7186.0,386.0,Nordeste,Feminino,Basico,Cobertura Ruim,Autônomo
34.0,7662.0,283.0,Nordeste,Desconhecido,Premium,Atendimento Ruim,Professor
54.0,19376.0,325.0,Centro-Oeste,Feminino,Nao especificado,Atendimento Ruim,Autônomo
53.0,8524.0,263.0,Desconhecido,Feminino,Intermediario,Preco Alto,Desempregado
43.0,12368.0,263.0,Centro-Oeste,Masculino,Intermediario,Preco Alto,Autônomo
37.0,1574.0,268.0,Sudeste,Masculino,Premium,Atendimento Ruim,Desempregado
59.0,7909.0,263.0,Centro-Oeste,Feminino,Premium,Atendimento Ruim,Professor
67.0,4563.0,263.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Professor
43.0,2984.0,420.0,Desconhecido,Masculino,Intermediario,Preco Alto,Desempregado
43.0,12610.0,263.0,Sudeste,Feminino,Intermediario,Cobertura Ruim,Professor
41.0,1815.0,465.0,Sudeste,Masculino,Nao especificado,Atendimento Ruim,Professor
36.0,17588.0,292.0,Nordeste,Feminino,Premium,Cobertura Ruim,Autônomo
53.0,7885.0,241.0,Centro-Oeste,Masculino,Basico,Cobertura Ruim,Professor
60.0,11079.0,129.0,Desconhecido,Feminino,Intermediario,Preco Alto,Professor
43.0,4533.0,423.0,Centro-Oeste,Masculino,Intermediario,Preco Alto,Desempregado
67.0,3630.0,252.0,Nordeste,Masculino,Premium,Preco Alto,Autônomo
51.0,4411.0,284.0,Sudeste,Desconhecido,Intermediario,Cobertura Ruim,Professor
31.0,4265.0,207.0,Desconhecido,Feminino,Nao especificado,Cobertura Ruim,Autônomo
37.0,16564.0,263.0,Desconhecido,Feminino,Premium,Atendimento Ruim,Professor
24.0,14607.0,388.0,Norte,Desconhecido,Intermediario,Atendimento Ruim,Desempregado
47.0,16266.0,352.0,Desconhecido,Feminino,Premium,Cobertura Ruim,Autônomo
28.0,13276.0,495.0,Sudeste,Masculino,Basico,Cobertura Ruim,Desempregado
52.0,10960.0,264.0,Sudeste,Feminino,Premium,Cobertura Ruim,Autônomo
55.0,8026.0,263.0,Nordeste,Feminino,Basico,Cobertura Ruim,Desempregado
42.0,4686.0,90.0,Sudeste,Desconhecido,Nao especificado,Preco Alto,Autônomo
23.0,7662.0,263.0,Norte,Desconhecido,Intermediario,Cobertura Ruim,Autônomo
48.0,7662.0,460.0,Centro-Oeste,Feminino,Premium,Atendimento Ruim,Professor
37.0,7800.0,263.0,Sul,Masculino,Basico,Atendimento Ruim,Desempregado
43.0,3796.0,263.0,Nordeste,Masculino,Basico,Atendimento Ruim,Professor
44.0,7662.0,489.0,Sul,Masculino,Intermediario,Preco Alto,Autônomo
43.0,5047.0,148.0,Sul,Feminino,Intermediario,Cobertura Ruim,Desempregado
49.0,1998.0,214.0,Sudeste,Desconhecido,Premium,Preco Alto,Autônomo
57.0,7707.0,257.0,Centro-Oeste,Feminino,Intermediario,Atendimento Ruim,Desempregado
27.0,3625.0,263.0,Nordeste,Feminino,Premium,Cobertura Ruim,Desempregado
41.0,3363.0,263.0,Norte,Masculino,Nao especificado,Cobertura Ruim,Autônomo
55.0,6194.0,256.0,Desconhecido,Feminino,Intermediario,Cobertura Ruim,Desempregado
43.0,5907.0,277.0,Sudeste,Desconhecido,Nao especificado,Preco Alto,Desempregado
19.0,16626.0,263.0,Sudeste,Desconhecido,Basico,Atendimento Ruim,Autônomo
51.0,8959.0,263.0,Norte,Feminino,Basico,Atendimento Ruim,Autônomo
54.0,16312.0,189.0,Sul,Desconhecido,Nao especificado,Preco Alto,Professor
61.0,3182.0,263.0,Sudeste,Masculino,Basico,Atendimento Ruim,Professor
43.0,5851.0,119.0,Nordeste,Masculino,Intermediario,Cobertura Ruim,Autônomo
38.0,7662.0,264.0,Sudeste,Desconhecido,Intermediario,Preco Alto,Professor
45.0,3261.0,460.0,Nordeste,Feminino,Premium,Atendimento Ruim,Professor
56.0,2943.0,491.0,Sul,Masculino,Nao especificado,Preco Alto,Professor
43.0,11413.0,174.0,Centro-Oeste,Desconhecido,Intermediario,Atendimento Ruim,Desempregado
43.0,11221.0,157.0,Sudeste,Masculino,Basico,Cobertura Ruim,Desempregado
36.0,4289.0,220.0,Norte,Desconhecido,Basico,Cobertura Ruim,Professor
56.0,4200.0,263.0,Nordeste,Feminino,Basico,Preco Alto,Professor
45.0,13544.0,401.0,Sudeste,Feminino,Basico,Atendimento Ruim,Desempregado
23.0,2803.0,384.0,Norte,Desconhecido,Premium,Atendimento Ruim,Desempregado
27.0,18054.0,460.0,Centro-Oeste,Masculino,Intermediario,Atendimento Ruim,Autônomo
62.0,18574.0,427.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Professor
43.0,16729.0,246.0,Nordeste,Masculino,Premium,Atendimento Ruim,Professor
36.0,3991.0,263.0,Sudeste,Feminino,Intermediario,Cobertura Ruim,Professor
38.0,1533.0,184.0,Sudeste,Masculino,Nao especificado,Preco Alto,Desempregado
43.0,18395.0,263.0,Desconhecido,Desconhecido,Nao especificado,Cobertura Ruim,Desempregado
31.0,7662.0,266.0,Desconhecido,Feminino,Intermediario,Cobertura Ruim,Desempregado
40.0,5256.0,185.0,Desconhecido,Desconhecido,Intermediario,Cobertura Ruim,Professor
33.0,4638.0,151.0,Sudeste,Masculino,Nao especificado,Atendimento Ruim,Desempregado
53.0,7662.0,263.0,Sul,Feminino,Basico,Atendimento Ruim,Autônomo
45.0,13268.0,263.0,Sudeste,Feminino,Premium,Cobertura Ruim,Desempregado
60.0,17664.0,432.0,Nordeste,Desconhecido,Intermediario,Cobertura Ruim,Desempregado
54.0,7662.0,263.0,Nordeste,Masculino,Premium,Cobertura Ruim,Desempregado
25.0,7662.0,282.0,Sudeste,Masculino,Basico,Cobertura Ruim,Professor
25.0,4969.0,66.0,Centro-Oeste,Feminino,Basico,Cobertura Ruim,Professor
64.0,8511.0,408.0,Sudeste,Masculino,Premium,Atendimento Ruim,Autônomo
43.0,4324.0,282.0,Nordeste,Masculino,Intermediario,Preco Alto,Desempregado
42.0,2734.0,308.0,Norte,Feminino,Basico,Atendimento Ruim,Professor
25.0,2845.0,100.0,Sudeste,Feminino,Nao especificado,Cobertura Ruim,Professor
64.0,7662.0,405.0,Sudeste,Feminino,Nao especificado,Preco Alto,Professor
43.0,1807.0,414.0,Sudeste,Feminino,Nao especificado,Cobertura Ruim,Desempregado
43.0,19322.0,440.0,Centro-Oeste,Desconhecido,Basico,Atendimento Ruim,Professor
43.0,7662.0,274.0,Sudeste,Desconhecido,Premium,Atendimento Ruim,Autônomo
59.0,3214.0,232.0,Desconhecido,Feminino,Basico,Cobertura Ruim,Desempregado
52.0,1324.0,263.0,Nordeste,Masculino,Basico,Cobertura Ruim,Desempregado
20.0,14118.0,170.0,Sudeste,Feminino,Nao especificado,Cobertura Ruim,Autônomo
44.0,18861.0,263.0,Centro-Oeste,Masculino,Nao especificado,Atendimento Ruim,Autônomo
43.0,7662.0,98.0,Sul,Desconhecido,Nao especificado,Atendimento Ruim,Desempregado
43.0,4550.0,158.0,Centro-Oeste,Feminino,Intermediario,Cobertura Ruim,Desempregado
43.0,7662.0,442.0,Desconhecido,Desconhecido,Nao especificado,Atendimento Ruim,Desempregado
68.0,4981.0,263.0,Centro-Oeste,Desconhecido,Basico,Cobertura Ruim,Autônomo
43.0,6864.0,379.0,Sudeste,Desconhecido,Intermediario,Preco Alto,Professor
22.0,7662.0,195.0,Sul,Desconhecido,Basico,Atendimento Ruim,Desempregado
36.0,14265.0,263.0,Norte,Feminino,Premium,Preco Alto,Autônomo
50.0,4589.0,263.0,Sudeste,Feminino,Intermediario,Atendimento Ruim,Autônomo
55.0,16415.0,393.0,Desconhecido,Feminino,Intermediario,Preco Alto,Professor
55.0,4181.0,202.0,Nordeste,Masculino,Basico,Cobertura Ruim,Autônomo
24.0,5902.0,174.0,Norte,Masculino,Basico,Cobertura Ruim,Professor
64.0,6998.0,67.0,Sudeste,Desconhecido,Intermediario,Cobertura Ruim,Professor
33.0,19980.0,263.0,Nordeste,Feminino,Basico,Atendimento Ruim,Professor
30.0,14075.0,245.0,Centro-Oeste,Feminino,Basico,Cobertura Ruim,Autônomo
48.0,7662.0,190.0,Sudeste,Desconhecido,Basico,Atendimento Ruim,Professor
43.0,17135.0,263.0,Sul,Feminino,Nao especificado,Atendimento Ruim,Professor
43.0,19077.0,346.0,Nordeste,Feminino,Premium,Preco Alto,Professor
39.0,7662.0,187.0,Sudeste,Feminino,Basico,Preco Alto,Autônomo
31.0,7662.0,299.0,Desconhecido,Feminino,Intermediario,Cobertura Ruim,Autônomo
34.0,7784.0,191.0,Sul,Desconhecido,Basico,Atendimento Ruim,Professor
40.0,4057.0,494.0,Nordeste,Desconhecido,Nao especificado,Preco Alto,Autônomo
36.0,9660.0,362.0,Desconhecido,Feminino,Basico,Cobertura Ruim,Desempregado
38.0,7662.0,263.0,Norte,Feminino,Nao especificado,Cobertura Ruim,Professor
55.0,2342.0,164.0,Sul,Feminino,Intermediario,Cobertura Ruim,Autônomo
43.0,13722.0,263.0,Desconhecido,Masculino,Nao especificado,Cobertura Ruim,Autônomo
43.0,16692.0,397.0,Desconhecido,Feminino,Basico,Atendimento Ruim,Autônomo
51.0,19663.0,364.0,Sul,Feminino,Nao especificado,Preco Alto,Desempregado
43.0,5565.0,263.0,Nordeste,Feminino,Nao especificado,Preco Alto,Professor
61.0,5829.0,209.0,Sul,Desconhecido,Premium,Cobertura Ruim,Professor
27.0,4233.0,212.0,Sudeste,Feminino,Intermediario,Cobertura Ruim,Desempregado
26.0,14651.0,277.0,Sul,Feminino,Basico,Cobertura Ruim,Professor
48.0,3095.0,197.0,Sudeste,Feminino,Basico,Atendimento Ruim,Professor
43.0,4715.0,137.0,Centro-Oeste,Feminino,Basico,Preco Alto,Desempregado
33.0,7662.0,263.0,Sudeste,Feminino,Intermediario,Preco Alto,Desempregado
44.0,6074.0,263.0,Desconhecido,Masculino,Intermediario,Atendimento Ruim,Autônomo
57.0,6667.0,263.0,Sul,Masculino,Basico,Preco Alto,Professor
57.0,8816.0,371.0,Desconhecido,Feminino,Intermediario,Atendimento Ruim,Desempregado
43.0,7662.0,281.0,Sudeste,Desconhecido,Basico,Preco Alto,Professor
22.0,7662.0,370.0,Sul,Outro,Premium,Preco Alto,Professor
21.0,14401.0,306.0,Sudeste,Masculino,Premium,Preco Alto,Desempregado
43.0,11793.0,344.0,Sudeste,Masculino,Intermediario,Atendimento Ruim,Professor
43.0,7662.0,100.0,Centro-Oeste,Masculino,Basico,Atendimento Ruim,Professor
65.0,15191.0,439.0,Centro-Oeste,Feminino,Basico,Preco Alto,Professor
19.0,2469.0,316.0,Sudeste,Masculino,Basico,Cobertura Ruim,Autônomo
19.0,13379.0,300.0,Norte,Masculino,Nao especificado,Cobertura Ruim,Professor
27.0,12792.0,230.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Desempregado
49.0,7662.0,71.0,Sudeste,Feminino,Premium,Preco Alto,Autônomo
45.0,7662.0,450.0,Desconhecido,Masculino,Intermediario,Atendimento Ruim,Desempregado
43.0,9180.0,493.0,Sudeste,Masculino,Nao especificado,Cobertura Ruim,Desempregado
64.0,13954.0,401.0,Centro-Oeste,Feminino,Premium,Cobertura Ruim,Professor
41.0,10809.0,457.0,Sudeste,Masculino,Basico,Atendimento Ruim,Desempregado
20.0,15037.0,143.0,Nordeste,Desconhecido,Premium,Preco Alto,Professor
43.0,12085.0,263.0,Sul,Feminino,Basico,Preco Alto,Professor
59.0,4800.0,438.0,Desconhecido,Feminino,Basico,Cobertura Ruim,Professor
20.0,3260.0,94.0,Sudeste,Masculino,Intermediario,Atendimento Ruim,Desempregado
32.0,10667.0,122.0,Sudeste,Desconhecido,Basico,Cobertura Ruim,Professor
57.0,13907.0,406.0,Nordeste,Masculino,Nao especificado,Cobertura Ruim,Professor
38.0,3124.0,283.0,Sul,Masculino,Nao especificado,Atendimento Ruim,Autônomo
43.0,1324.0,263.0,Sudeste,Feminino,Nao especificado,Preco Alto,Desempregado
60.0,1473.0,263.0,Norte,Desconhecido,Premium,Cobertura Ruim,Professor
43.0,7662.0,263.0,Centro-Oeste,Desconhecido,Premium,Preco Alto,Professor
43.0,8392.0,375.0,Sudeste,Feminino,Nao especificado,Cobertura Ruim,Professor
43.0,7661.0,341.0,Sudeste,Masculino,Basico,Cobertura Ruim,Desempregado
21.0,5327.0,489.0,Sudeste,Desconhecido,Basico,Preco Alto,Autônomo
50.0,6745.0,272.0,Desconhecido,Feminino,Basico,Cobertura Ruim,Desempregado
43.0,14072.0,54.0,Sul,Desconhecido,Premium,Cobertura Ruim,Desempregado
55.0,3625.0,243.0,Desconhecido,Masculino,Premium,Preco Alto,Professor
43.0,3875.0,124.0,Sudeste,Masculino,Intermediario,Atendimento Ruim,Desempregado
20.0,11554.0,140.0,Sudeste,Feminino,Premium,Preco Alto,Desempregado
23.0,16625.0,189.0,Nordeste,Feminino,Nao especificado,Cobertura Ruim,Professor
61.0,5636.0,228.0,Centro-Oeste,Feminino,Basico,Atendimento Ruim,Desempregado
37.0,1324.0,260.0,Nordeste,Masculino,Basico,Preco Alto,Professor
34.0,2051.0,163.0,Sudeste,Feminino,Intermediario,Cobertura Ruim,Professor
43.0,7662.0,207.0,Desconhecido,Masculino,Premium,Cobertura Ruim,Autônomo
49.0,7152.0,196.0,Nordeste,Masculino,Basico,Atendimento Ruim,Professor
20.0,12988.0,223.0,Nordeste,Feminino,Premium,Cobertura Ruim,Professor
64.0,7662.0,133.0,Desconhecido,Feminino,Premium,Cobertura Ruim,Professor
68.0,8708.0,263.0,Nordeste,Feminino,Basico,Cobertura Ruim,Desempregado
39.0,1682.0,263.0,Sudeste,Feminino,Basico,Atendimento Ruim,Professor
43.0,7176.0,125.0,Nordeste,Masculino,Basico,Cobertura Ruim,Autônomo
63.0,4396.0,272.0,Desconhecido,Masculino,Intermediario,Preco Alto,Professor
43.0,7868.0,374.0,Desconhecido,Desconhecido,Basico,Cobertura Ruim,Autônomo
62.0,7988.0,56.0,Nordeste,Masculino,Intermediario,Atendimento Ruim,Professor
19.0,13740.0,86.0,Centro-Oeste,Desconhecido,Premium,Preco Alto,Professor
43.0,7662.0,255.0,Nordeste,Masculino,Basico,Cobertura Ruim,Autônomo
68.0,7662.0,435.0,Sudeste,Desconhecido,Premium,Cobertura Ruim,Desempregado
32.0,8071.0,499.0,Desconhecido,Masculino,Basico,Atendimento Ruim,Autônomo
33.0,19756.0,122.0,Norte,Feminino,Basico,Cobertura Ruim,Desempregado
49.0,14716.0,263.0,Sudeste,Feminino,Intermediario,Cobertura Ruim,Professor
66.0,13803.0,181.0,Desconhecido,Masculino,Basico,Preco Alto,Professor
29.0,10547.0,255.0,Sudeste,Masculino,Basico,Atendimento Ruim,Desempregado
66.0,8039.0,288.0,Sudeste,Masculino,Basico,Preco Alto,Desempregado
50.0,5691.0,487.0,Desconhecido,Desconhecido,Nao especificado,Preco Alto,Professor
43.0,7662.0,443.0,Sudeste,Masculino,Premium,Atendimento Ruim,Professor
55.0,3724.0,285.0,Centro-Oeste,Masculino,Basico,Atendimento Ruim,Professor
51.0,1783.0,222.0,Desconhecido,Desconhecido,Basico,Preco Alto,Professor
59.0,12346.0,210.0,Sudeste,Masculino,Nao especificado,Atendimento Ruim,Autônomo
28.0,3156.0,288.0,Sul,Feminino,Premium,Atendimento Ruim,Professor
67.0,7662.0,356.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Autônomo
27.0,7662.0,260.0,Sudeste,Desconhecido,Basico,Preco Alto,Desempregado
19.0,9913.0,205.0,Sudeste,Desconhecido,Basico,Atendimento Ruim,Desempregado
52.0,5300.0,300.0,Nordeste,Desconhecido,Premium,Cobertura Ruim,Autônomo
29.0,10818.0,263.0,Nordeste,Masculino,Nao especificado,Cobertura Ruim,Professor
56.0,7367.0,243.0,Desconhecido,Desconhecido,Intermediario,Atendimento Ruim,Desempregado
58.0,5012.0,263.0,Desconhecido,Desconhecido,Basico,Atendimento Ruim,Autônomo
43.0,18608.0,198.0,Nordeste,Feminino,Basico,Atendimento Ruim,Autônomo
43.0,3372.0,261.0,Sudeste,Masculino,Basico,Cobertura Ruim,Professor
43.0,13746.0,263.0,Norte,Masculino,Basico,Preco Alto,Professor
64.0,14929.0,357.0,Nordeste,Feminino,Basico,Preco Alto,Professor
61.0,18778.0,231.0,Sudeste,Masculino,Basico,Cobertura Ruim,Professor
24.0,8573.0,280.0,Sudeste,Feminino,Nao especificado,Atendimento Ruim,Professor
68.0,7662.0,236.0,Nordeste,Feminino,Basico,Atendimento Ruim,Desempregado
33.0,17979.0,137.0,Desconhecido,Masculino,Nao especificado,Atendimento Ruim,Professor
36.0,14956.0,263.0,Sul,Masculino,Intermediario,Preco Alto,Autônomo
26.0,14006.0,428.0,Sudeste,Masculino,Basico,Cobertura Ruim,Professor
38.0,7662.0,263.0,Desconhecido,Desconhecido,Nao especificado,Cobertura Ruim,Professor
49.0,7574.0,292.0,Sul,Masculino,Basico,Cobertura Ruim,Desempregado
43.0,1845.0,166.0,Sudeste,Desconhecido,Premium,Atendimento Ruim,Professor
60.0,3834.0,221.0,Sudeste,Feminino,Nao especificado,Cobertura Ruim,Desempregado
43.0,10946.0,263.0,Nordeste,Masculino,Nao especificado,Preco Alto,Professor
33.0,6343.0,263.0,Desconhecido,Desconhecido,Basico,Cobertura Ruim,Professor
46.0,10027.0,188.0,Nordeste,Feminino,Nao especificado,Preco Alto,Autônomo
21.0,8630.0,93.0,Sudeste,Masculino,Nao especificado,Atendimento Ruim,Desempregado
43.0,6882.0,125.0,Sudeste,Masculino,Premium,Preco Alto,Desempregado
38.0,4296.0,292.0,Desconhecido,Feminino,Intermediario,Cobertura Ruim,Professor
43.0,12873.0,325.0,Sudeste,Feminino,Basico,Preco Alto,Autônomo
43.0,17694.0,315.0,Centro-Oeste,Feminino,Intermediario,Atendimento Ruim,Autônomo
64.0,7662.0,263.0,Nordeste,Feminino,Nao especificado,Preco Alto,Desempregado
47.0,2842.0,262.0,Desconhecido,Desconhecido,Nao especificado,Cobertura Ruim,Professor
43.0,7662.0,105.0,Desconhecido,Desconhecido,Nao especificado,Atendimento Ruim,Professor
39.0,15825.0,418.0,Norte,Feminino,Basico,Preco Alto,Professor
43.0,9627.0,269.0,Nordeste,Feminino,Nao especificado,Atendimento Ruim,Professor
37.0,7662.0,151.0,Sudeste,Desconhecido,Basico,Cobertura Ruim,Autônomo
56.0,4928.0,152.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Professor
43.0,5509.0,269.0,Sul,Desconhecido,Nao especificado,Preco Alto,Professor
43.0,4390.0,263.0,Sudeste,Feminino,Basico,Cobertura Ruim,Desempregado
61.0,3802.0,460.0,Sudeste,Feminino,Basico,Cobertura Ruim,Desempregado
56.0,7662.0,263.0,Sudeste,Outro,Basico,Cobertura Ruim,Professor
43.0,7779.0,489.0,Sul,Masculino,Basico,Cobertura Ruim,Desempregado
34.0,13275.0,263.0,Sudeste,Masculino,Basico,Cobertura Ruim,Professor
53.0,5224.0,403.0,Nordeste,Masculino,Basico,Cobertura Ruim,Professor
31.0,7163.0,231.0,Sudeste,Masculino,Nao especificado,Cobertura Ruim,Professor
18.0,11894.0,152.0,Sul,Masculino,Premium,Cobertura Ruim,Professor
63.0,19068.0,340.0,Nordeste,Feminino,Nao especificado,Cobertura Ruim,Desempregado
44.0,5744.0,263.0,Desconhecido,Masculino,Premium,Cobertura Ruim,Professor
70.0,7662.0,474.0,Nordeste,Masculino,Basico,Cobertura Ruim,Desempregado
38.0,7017.0,170.0,Sul,Feminino,Basico,Cobertura Ruim,Desempregado
68.0,7662.0,307.0,Sudeste,Masculino,Basico,Preco Alto,Professor
48.0,7662.0,263.0,Desconhecido,Feminino,Nao especificado,Cobertura Ruim,Professor
44.0,8246.0,235.0,Sul,Desconhecido,Premium,Cobertura Ruim,Professor
34.0,15244.0,477.0,Sudeste,Desconhecido,Intermediario,Atendimento Ruim,Desempregado
43.0,7209.0,109.0,Sudeste,Feminino,Premium,Cobertura Ruim,Autônomo
60.0,1825.0,292.0,Nordeste,Feminino,Intermediario,Atendimento Ruim,Desempregado
39.0,17317.0,385.0,Sul,Feminino,Premium,Cobertura Ruim,Professor
54.0,4995.0,173.0,Sudeste,Desconhecido,Intermediario,Preco Alto,Professor
41.0,3078.0,263.0,Desconhecido,Feminino,Intermediario,Cobertura Ruim,Desempregado
55.0,7662.0,112.0,Desconhecido,Feminino,Nao especificado,Cobertura Ruim,Autônomo
43.0,5725.0,263.0,Desconhecido,Masculino,Intermediario,Atendimento Ruim,Professor
32.0,3051.0,179.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Professor
49.0,5270.0,180.0,Nordeste,Desconhecido,Basico,Cobertura Ruim,Professor
38.0,7835.0,252.0,Norte,Desconhecido,Nao especificado,Preco Alto,Autônomo
45.0,2435.0,263.0,Desconhecido,Feminino,Nao especificado,Atendimento Ruim,Desempregado
63.0,5791.0,498.0,Nordeste,Feminino,Intermediario,Cobertura Ruim,Desempregado
43.0,11602.0,263.0,Nordeste,Desconhecido,Nao especificado,Preco Alto,Desempregado
22.0,17868.0,73.0,Sul,Feminino,Nao especificado,Preco Alto,Professor
59.0,1324.0,263.0,Desconhecido,Feminino,Intermediario,Cobertura Ruim,Professor
46.0,8957.0,393.0,Sudeste,Feminino,Basico,Cobertura Ruim,Autônomo
41.0,10770.0,169.0,Centro-Oeste,Masculino,Nao especificado,Preco Alto,Professor
28.0,7662.0,263.0,Sul,Desconhecido,Basico,Preco Alto,Desempregado
43.0,5659.0,263.0,Sudeste,Desconhecido,Nao especificado,Preco Alto,Professor
33.0,11993.0,408.0,Desconhecido,Desconhecido,Premium,Atendimento Ruim,Professor
54.0,13296.0,354.0,Desconhecido,Masculino,Premium,Cobertura Ruim,Desempregado
39.0,5833.0,348.0,Desconhecido,Masculino,Nao especificado,Atendimento Ruim,Autônomo
46.0,1405.0,159.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Professor
22.0,7662.0,208.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim,Professor
25.0,8286.0,273.0,Sudeste,Feminino,Premium,Cobertura Ruim,Desempregado
18.0,8625.0,137.0,Desconhecido,Masculino,Nao especificado,Cobertura Ruim,Autônomo
51.0,7662.0,259.0,Sul,Feminino,Intermediario,Atendimento Ruim,Autônomo
33.0,12944.0,248.0,Desconhecido,Feminino,Premium,Cobertura Ruim,Autônomo
69.0,18004.0,182.0,Nordeste,Feminino,Intermediario,Preco Alto,Professor
35.0,19751.0,172.0,Desconhecido,Desconhecido,Basico,Cobertura Ruim,Professor
37.0,12419.0,187.0,Sul,Masculino,Nao especificado,Preco Alto,Professor
42.0,7838.0,298.0,Nordeste,Feminino,Basico,Cobertura Ruim,Desempregado
18.0,3107.0,263.0,Sudeste,Desconhecido,Premium,Cobertura Ruim,Desempregado
60.0,6191.0,239.0,Sudeste,Desconhecido,Basico,Cobertura Ruim,Professor
63.0,9157.0,263.0,Norte,Masculino,Intermediario,Atendimento Ruim,Autônomo
18.0,7662.0,263.0,Sul,Feminino,Intermediario,Cobertura Ruim,Desempregado
43.0,2930.0,345.0,Sudeste,Masculino,Basico,Cobertura Ruim,Autônomo
52.0,14753.0,243.0,Nordeste,Masculino,Nao especificado,Preco Alto,Desempregado
68.0,19974.0,154.0,Nordeste,Masculino,Intermediario,Atendimento Ruim,Autônomo
43.0,15062.0,353.0,Sudeste,Masculino,Nao especificado,Atendimento Ruim,Desempregado
29.0,14095.0,448.0,Sudeste,Outro,Intermediario,Cobertura Ruim,Professor
